,County,Latitude,Longitude,PM25_TOT_ob,PM25_TOT_mod,Time On,Time Off,Elevation
2651,Los Angeles,34.1365,-117.9239,32.3,17.381,01/01/2002 00:00,01/01/2002 23:59,183.0
2652,Los Angeles,34.1365,-117.9239,57.2,29.588,01/02/2002 00:00,01/02/2002 23:59,183.0
2653,Los Angeles,34.1365,-117.9239,39.2,13.244,01/03/2002 00:00,01/03/2002 23:59,183.0
2654,Los Angeles,34.1365,-117.9239,23.2,6.8575,01/04/2002 00:00,01/04/2002 23:59,183.0
2655,Los Angeles,34.1365,-117.9239,7.3,4.7186,01/05/2002 00:00,01/05/2002 23:59,183.0
2656,Los Angeles,34.1365,-117.9239,7.3,5.6758,01/07/2002 00:00,01/07/2002 23:59,183.0
2657,Los Angeles,34.1365,-117.9239,17.2,7.7337,01/08/2002 00:00,01/08/2002 23:59,183.0
2658,Los Angeles,34.1365,-117.9239,24.9,12.637,01/09/2002 00:00,01/09/2002 23:59,183.0
2659,Los Angeles,34.1365,-117.9239,21.7,1.6736,01/10/2002 00:00,01/10/2002 23:59,183.0
2660,Los Angeles,34.1365,-117.9239,11.2,3.9991,01/12/2002 00:00,01/12/2002 23:59,183.0
2661,Los Angeles,34.1365,-117.9239,43.7,15.778,01/14/2002 00:00,01/14/2002 23:59,183.0
2662,Los Angeles,34.1365,-117.9239,23.0,13.086,01/15/2002 00:00,01/15/2002 23:59,183.0
2663,Los Angeles,34.1365,-117.9239,12.5,4.6014,01/16/2002 00:00,01/16/2002 23:59,183.0
2664,Los Angeles,34.1365,-117.9239,13.5,6.7003,01/17/2002 00:00,01/17/2002 23:59,183.0
2665,Los Angeles,34.1365,-117.9239,8.7,1.8434,01/23/2002 00:00,01/23/2002 23:59,183.0
2666,Los Angeles,34.1365,-117.9239,11.4,7.5684,01/25/2002 00:00,01/25/2002 23:59,183.0
2667,Los Angeles,34.1365,-117.9239,12.3,6.6046,01/27/2002 00:00,01/27/2002 23:59,183.0
2668,Los Angeles,34.1365,-117.9239,7.6,1.2478,01/30/2002 00:00,01/30/2002 23:59,183.0
2669,Los Angeles,34.1365,-117.9239,8.9,6.411,01/31/2002 00:00,01/31/2002 23:59,183.0
2670,Los Angeles,34.1365,-117.9239,-999.0,29.588,01/02/2002 00:00,01/02/2002 23:59,183.0
2671,Los Angeles,34.1365,-117.9239,-999.0,7.7337,01/08/2002 00:00,01/08/2002 23:59,183.0
2672,Los Angeles,34.1365,-117.9239,4.9,3.6167,01/11/2002 00:00,01/11/2002 23:59,183.0
2673,Los Angeles,34.1365,-117.9239,-999.0,15.778,01/14/2002 00:00,01/14/2002 23:59,183.0
2674,Los Angeles,34.1365,-117.9239,12.0,5.222,01/20/2002 00:00,01/20/2002 23:59,183.0
2675,Los Angeles,34.1365,-117.9239,17.8,11.973,01/26/2002 00:00,01/26/2002 23:59,183.0
2676,Los Angeles,34.1365,-117.9239,4.9,3.1635,01/29/2002 00:00,01/29/2002 23:59,183.0
2677,Los Angeles,34.1365,-117.9239,-999.0,29.588,01/02/2002 00:00,01/02/2002 23:59,183.0
2678,Los Angeles,34.1365,-117.9239,-999.0,15.778,01/14/2002 00:00,01/14/2002 23:59,183.0
2679,Los Angeles,34.1365,-117.9239,-999.0,11.973,01/26/2002 00:00,01/26/2002 23:59,183.0
2680,Los Angeles,34.176,-118.3171,63.0,40.843,01/02/2002 00:00,01/02/2002 23:59,168.0
2681,Los Angeles,34.176,-118.3171,28.6,6.7693,01/05/2002 00:00,01/05/2002 23:59,168.0
2682,Los Angeles,34.176,-118.3171,21.0,16.376,01/08/2002 00:00,01/08/2002 23:59,168.0
2683,Los Angeles,34.176,-118.3171,21.8,3.9161,01/11/2002 00:00,01/11/2002 23:59,168.0
2684,Los Angeles,34.176,-118.3171,52.4,23.811,01/14/2002 00:00,01/14/2002 23:59,168.0
2685,Los Angeles,34.176,-118.3171,21.8,6.4123,01/17/2002 00:00,01/17/2002 23:59,168.0
2686,Los Angeles,34.176,-118.3171,26.4,7.0059,01/20/2002 00:00,01/20/2002 23:59,168.0
2687,Los Angeles,34.176,-118.3171,6.2,2.7306,01/23/2002 00:00,01/23/2002 23:59,168.0
2688,Los Angeles,34.176,-118.3171,37.0,15.202,01/26/2002 00:00,01/26/2002 23:59,168.0
2689,Los Angeles,34.176,-118.3171,12.3,2.8792,01/29/2002 00:00,01/29/2002 23:59,168.0
2690,Los Angeles,34.176,-118.3171,-999.0,40.843,01/02/2002 00:00,01/02/2002 23:59,168.0
2691,Los Angeles,34.176,-118.3171,-999.0,16.376,01/08/2002 00:00,01/08/2002 23:59,168.0
2692,Los Angeles,34.176,-118.3171,-999.0,23.811,01/14/2002 00:00,01/14/2002 23:59,168.0
2693,Los Angeles,34.176,-118.3171,-999.0,7.0059,01/20/2002 00:00,01/20/2002 23:59,168.0
2694,Los Angeles,34.176,-118.3171,-999.0,15.202,01/26/2002 00:00,01/26/2002 23:59,168.0
2695,Los Angeles,34.176,-118.3171,-999.0,40.843,01/02/2002 00:00,01/02/2002 23:59,168.0
2696,Los Angeles,34.176,-118.3171,-999.0,23.811,01/14/2002 00:00,01/14/2002 23:59,168.0
